focus,manager,functional.bucket,location,level,num.reports.FTE,num.reports.managers,min.depth,max.depth,mean.depth,sd.depth,is.leaf,layer,num.dist.levels,manager.level,equal.dyads,align.dyads,misalign.dyads,loc.entropy,loc.herfindahl,tenure.total,tenure.manager,IsDirector,IsVP,num.dir.total.reports,org.FTE.size,org.total.size,org.FTE.yrly.growth,avg.tenure,avg.level,avg.depth,avg.span,perc.managers.single.FTE,perc.managers.two.FTE,ratio.VP.to.FTE,ratio.Dir.to.FTE,ratio.SWE.to.PM,ratio.UX.to.PM,ratio.TechPM.to.PM,num.locs,perc.manager.coloc,num.lonely.FTE,direct.report.satisfaction,VP.DIR.vision,count.VP.DIR.vision,VP.DIR.decisions,count.VP.DIR.decisions,org.climate.satisfaction,count.org.climate.satisfaction,org.climate.strong.performance,org.climate.avg.performance,avg.time.in.level,avg.promo.rate
Najla,Tyronne,engineering,UK-LON,6,4,0,1,1,1,0,1,5,1,8,0,4,0,0,1,11.7,7,0,0,4,5,5,0.25,7,4.6,6.8,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.8,0.3,3.7,0
Naoko,Viktor,engineering,US-SAN,6,5,0,1,1,1,0,1,6,1,7,0,5,0,0,1,5.9,1.8,0,0,5,6,6,0.2,3.9,4.5,7.8,5,0,0,0,0,0,0,0,1,0.83,0,1,0,0,0,0,1,5,0.8,0.2,2.5,0.1
Naquan,Javas,engineering,US-SFO,6,6,0,1,1,1,0,1,7,1,7,0,6,0,0,1,9.1,0.8,0,0,6,7,8,6,4.2,4.6,8.9,6,0,0,0,0,0,0,0,1,1,0,0.93,0,0,0,0,0.6,5,0.6,0.4,2.1,0.2
Nashira,Allena,product management,US-SFO,7,3,0,1,1,1,0,1,5,1,8,0,3,0,0,1,6.2,1.5,0,0,3,4,4,3,3.1,4.3,6.8,3,0,0,0,0,0,0,0,2,0.5,0,0.97,0,0,0,0,0,0,0.7,0.3,1.7,0
Nasim,Marily,engineering,TW-TPE,5,9,0,1,1,1,0,1,8,1,5,0,9,0,0,1,2.2,2.2,0,0,9,10,10,0,2.3,3.6,9.9,9,0,0,0,0,0,0,0,3,0.5,0,0.97,0,0,0,0,1,10,0.6,0.4,1.6,0.3
Natascha,Maryjo,operations,US-SFO,8,2,1,2,2,2,0,0,6,2,8,0,4,0,0,1,14.3,9.7,1,0,2,6,6,0,7.4,5.2,8.3,2.5,0,0.5,0,6,0,0,0,1,1,0,0,0.5,4,0.75,4,1,4,0.8,0.2,2.5,0.2
Nathaneal,Lanelle,engineering,US-SFO,6,11,0,1,1,1,0,1,6,1,7,0,11,0,0,1,10,3,0,0,11,12,15,0.5,5.9,4.7,7.9,11,0,0,0,0,0,0,0,1,0.92,0,0.91,0,0,0,0,0.89,9,0.5,0.4,2.4,0
Nathaniel,Emy,engineering,US-SFO,5,2,0,1,1,1,0,1,7,1,6,0,2,0,0,1,5.6,1,0,0,2,3,3,0,4.3,4.3,8.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,2.2,0
Natilie,Jamie,engineering,DK-AAR,7,9,0,1,1,1,0,1,5,1,7,0,9,0,0,1,13.3,11.5,0,0,9,10,10,0,5.2,4.7,6.9,9,0,0,0,0,0,0,0,1,0.9,0,0.96,0,0,0,0,1,9,0.5,0.5,2.4,0.2
Natonya,Tawanna,product management,US-SFO,7,10,1,2,2,2,0,0,4,2,9,0,9,0,0,1,12.1,3.8,0,0,12,19,59,0,5.8,4.6,6.4,9,0,0,0,0,0,0,0,3,0.89,0,0.99,0,0,0,0,0.75,12,0.5,0.5,2.2,0.1
Nazareth,Rhianon,advocates,US-SFO,6,1,0,1,1,1,0,1,5,1,9,0,1,0,0,1,6.3,0,0,0,1,2,2,1,8.2,6,6.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.6,0.3
Ndidi,Satin,engineering,US-SFO,6,6,0,1,1,1,0,1,7,1,7,0,6,0,0,1,7.6,1.8,0,0,6,7,8,0.17,4.8,4.6,8.9,6,0,0,0,0,0,0,0,1,1,0,0.98,0,0,0,0,1,4,0.6,0.4,1.7,0.2
Neha,Jamey,product management,AU-SYD,8,2,2,3,4,3.5,0.707106781,0,5,4,9,0,71,0,0,1,11.4,9,1,0,2,84,85,0.35,4.7,4.2,8.8,5.5,0,0.2,0,84,0,0,0,2,0.98,0,0.93,0.7463,67,0.8308,65,0.95,80,0.61,0.38,2.9,0.04
Nelia,Silvina,ux team,US-SFO,8,4,3,2,2,2,0,0,4,2,9,0,24,0,0,1,9.2,5.6,1,0,4,26,30,0.37,4.2,4.8,6.8,6.3,0,0,0,26,0,0,0,4,0.5,0,0.86,0.7222,18,0.6667,18,0.79,19,0.7,0.3,1.8,0.2
Nell,Tana,product management,US-Others,6,4,0,1,1,1,0,1,5,1,7,0,4,0,0,1,1.3,0.3,0,0,9,5,10,4,3.8,5,6.8,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.4,0.6,1.6,0.3
Nelson,Jamey,product management,US-SFO,7,14,0,1,1,1,0,1,5,1,9,0,14,0,0,1,11.9,11.8,0,0,14,15,17,0.5,5.3,4.5,6.9,14,0,0,0,0,0,0,0,6,0.53,0,0.77,0,0,0,0,0.9,10,0.6,0.4,3.8,0
Neomi,Destani,engineering,US-SFO,5,3,0,1,1,1,0,1,5,1,7,0,3,0,0,1,10,1.5,0,0,3,4,4,1,4.6,4.5,6.8,3,0,0,0,0,0,0,0,1,1,0,0.85,0,0,0,0,1,3,0.7,0.3,3.1,0
Nevada,Gunter,product management,UK-LON,7,3,1,2,2,2,0,0,4,1,10,1,3,0,0,1,9.3,2.7,0,0,3,7,8,-0.13,7.1,5.9,6.3,3,0,0,0,0,0.2,0,0,2,0.71,0,0.95,0,0,0,0,1,5,0.9,0.1,2.8,0.1
Nguyen,Lenzy,operations,DE-MUC,7,4,0,1,1,1,0,1,4,1,8,0,4,0,0,1,14.3,14.2,0,0,4,5,5,-0.5,6,5.2,5.8,4,0,0,0,0,0,0,0,1,0.8,0,0.82,0,0,0,0,1,4,0.6,0.3,3.1,0.1
Nichalas,Lanelle,engineering,US-SFO,6,3,3,2,2,2,0,0,6,2,7,2,25,0,0.811278124,0.625,9.6,6.4,0,0,3,28,28,0.12,5.4,5.1,8.8,6.8,0,0,0,0,0,0,0,4,0.71,1,0.99,0,0,0,0,0.9,21,0.6,0.4,3.4,0.1
